City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jeddah,21.5169,39.2192,306.07,52,0,2.57,SA,1691611457
1,guerrero negro,27.9769,-114.0611,300.92,58,13,7.47,MX,1691611386
2,muroto-misakicho,33.2833,134.15,300.52,91,100,10.41,JP,1691611459
3,san antonio de pale,-1.4014,5.6325,296.91,81,94,5.3,GQ,1691611281
4,mejit,10.2753,170.8646,300.92,71,77,4.62,MH,1691611459
5,jamestown,42.097,-79.2353,300.94,54,0,7.72,US,1691611231
6,nemuro,43.3236,145.575,291.87,100,100,6.04,JP,1691611460
7,ushuaia,-54.8,-68.3,281.96,53,75,4.63,AR,1691611460
8,puerto natales,-51.7236,-72.4875,277.06,93,92,0.61,CL,1691611291
9,ciudad lazaro cardenas,17.9583,-102.2,304.86,64,13,3.68,MX,1691611461
10,medicine hat,50.0501,-110.6683,301.33,44,75,1.54,CA,1691611243
11,soc trang,9.6033,105.98,298.87,88,27,2.8,VN,1691611462
12,port-aux-francais,-49.35,70.2167,275.56,79,87,12.29,TF,1691611462
13,faya-largeau,17.9257,19.1043,308.32,39,8,3.31,TD,1691611462
14,grytviken,-54.2811,-36.5092,265.93,65,3,3.35,GS,1691611463
15,varena,54.2167,24.5667,288.04,70,100,1.62,LT,1691611463
16,sault ste. marie,46.5168,-84.3333,297.31,73,20,2.57,CA,1691611360
17,blackmans bay,-43.0167,147.3167,286.33,69,100,3.49,AU,1691611464
18,isafjordur,66.0755,-23.124,286.17,47,0,6.17,IS,1691611464
19,kolonia,50.9333,6.95,292.51,68,0,3.6,DE,1691611212
20,carnarvon,-24.8667,113.6333,292.58,76,35,4.61,AU,1691611465
21,adamstown,-25.066,-130.1015,291.97,72,40,9.61,PN,1691611466
22,kodiak,57.79,-152.4072,284.88,100,100,2.06,US,1691611350
23,shache,38.4167,77.2406,301.32,22,3,3.06,CN,1691611466
24,tindouf,27.6711,-8.1474,315.4,7,0,9.26,DZ,1691611467
25,namtsy,62.7161,129.6658,284.31,74,9,1.85,RU,1691611467
26,ust-nera,64.5667,143.2,287.82,66,15,1.53,RU,1691611467
27,punta arenas,-53.15,-70.9167,277.1,93,100,3.7,CL,1691611468
28,odoyev,53.9393,36.6864,288.02,73,4,2.74,RU,1691611468
29,ilulissat,69.2167,-51.1,283.16,50,75,1.03,GL,1691611221
30,darwin,-12.4611,130.8418,296.14,78,75,2.06,AU,1691611215
31,avarua,-21.2078,-159.775,296.18,73,100,6.69,CK,1691611469
32,west island,-12.1568,96.8225,298.14,83,75,6.17,CC,1691611220
33,papatowai,-46.5619,169.4708,275.18,87,93,2.58,NZ,1691611470
34,iqaluit,63.7506,-68.5145,278.0,93,100,3.6,CA,1691611322
35,talnakh,69.4865,88.3972,288.82,63,100,2.53,RU,1691611471
36,new norfolk,-42.7826,147.0587,286.99,75,100,2.84,AU,1691611471
37,tazacorte,28.629,-17.9293,297.69,89,0,6.17,ES,1691611471
38,zyryanovsk,49.7386,84.2719,287.01,88,26,1.04,KZ,1691611472
39,waitangi,-43.9535,-176.5597,282.49,83,94,1.79,NZ,1691611472
40,vilyuchinsk,52.9306,158.4028,285.3,79,100,2.67,RU,1691611473
41,hawaiian paradise park,19.5933,-154.9731,298.72,87,100,3.09,US,1691611473
42,daru,-9.0763,143.2092,297.3,78,84,6.6,PG,1691611473
43,bilibino,68.0546,166.4372,282.67,49,99,1.44,RU,1691611474
44,kindu,-2.95,25.95,298.37,52,5,0.86,CD,1691611474
45,extrema,-22.8547,-46.3183,297.02,49,67,1.82,BR,1691611474
46,bonthe,7.5264,-12.505,298.18,88,100,6.64,SL,1691611475
47,pangody,65.85,74.4859,282.98,69,77,8.9,RU,1691611475
48,puerto ayora,-0.7393,-90.3518,303.13,84,99,3.13,EC,1691611476
49,boende,-0.2167,20.8667,296.03,92,65,1.14,CD,1691611476
50,yuzhno-kurilsk,44.0306,145.8556,292.74,100,100,4.44,RU,1691611477
51,utrik,11.2278,169.8474,301.14,74,89,5.03,MH,1691611477
52,tolanaro,-25.0319,46.9987,293.19,88,20,6.17,MG,1691611477
53,tiksi,71.6872,128.8694,288.65,54,8,3.37,RU,1691611478
54,vorgashor,67.5833,63.95,281.51,83,38,2.85,RU,1691611478
55,bikenibeu village,1.3673,173.1241,301.13,83,40,0.51,KI,1691611479
56,la passe,45.5549,-0.8967,301.28,44,0,4.65,FR,1691611479
57,kokoda,-8.8785,147.7407,294.12,95,74,0.73,PG,1691611480
58,longyearbyen,78.2186,15.6401,284.06,54,0,0.51,SJ,1691611327
59,tsiombe,-25.3,45.4833,292.65,86,5,3.28,MG,1691611480
60,sao joao da barra,-21.6403,-41.0511,296.2,79,83,5.82,BR,1691611481
61,at taj,24.2049,23.2857,307.66,24,58,5.55,LY,1691611481
62,pisco,-13.7,-76.2167,294.18,78,100,3.09,PE,1691611481
63,wailua homesteads,22.0669,-159.378,304.39,74,75,9.77,US,1691611482
64,gazojak,41.1875,61.4036,303.59,25,0,3.24,TM,1691611482
65,yellowknife,62.456,-114.3525,294.44,43,75,8.23,CA,1691611225
66,tofol,5.3248,163.0078,301.1,75,88,4.47,FM,1691611483
67,edinburgh of the seven seas,-37.0676,-12.3116,283.72,64,79,10.29,SH,1691611483
68,jindabyne,-36.4167,148.6333,281.12,62,22,6.87,AU,1691611484
69,uturoa,-16.7333,-151.4333,298.05,70,11,8.42,PF,1691611484
70,smithers,54.7804,-127.1743,289.33,82,75,2.57,CA,1691611485
71,atafu village,-8.5421,-172.5159,301.39,80,100,6.63,TK,1691611416
72,cumnock,55.4544,-4.2664,289.88,96,91,1.5,GB,1691611485
73,jiuquan,39.7432,98.5174,297.56,49,100,0.5,CN,1691611486
74,bethel,41.3712,-73.414,302.9,54,58,0.89,US,1691611310
75,urucara,-2.5364,-57.76,309.04,34,74,2.69,BR,1691611486
76,stanley,54.868,-1.6985,291.36,81,75,3.09,GB,1691611477
77,invercargill,-46.4,168.35,272.6,95,83,0.89,NZ,1691611487
78,montemor-o-novo,38.6481,-8.2145,297.37,54,0,3.65,PT,1691611487
79,lompoc,34.6391,-120.4579,303.71,74,75,3.09,US,1691611488
80,khash,28.2211,61.2158,301.3,20,0,2.28,IR,1691611488
81,harstad,68.799,16.5293,292.49,71,40,2.49,NO,1691611489
82,viqueque,-8.8673,126.3658,294.93,91,43,0.71,TL,1691611489
83,rabo de peixe,37.8,-25.5833,295.88,94,75,3.09,PT,1691611490
84,badger,64.8,-147.5333,293.99,86,75,0.45,US,1691611386
85,bredasdorp,-34.5322,20.0403,284.17,93,0,2.03,ZA,1691611490
86,charters towers,-20.1,146.2667,285.98,90,16,3.55,AU,1691611491
87,holualoa,19.6228,-155.9522,301.36,73,20,5.14,US,1691611491
88,beloyarskiy,63.7119,66.6722,283.41,82,15,2.25,RU,1691611492
89,homestead meadows north,31.8496,-106.1729,309.86,18,20,8.23,US,1691611492
90,west wodonga,-36.1257,146.8486,282.62,100,95,1.75,AU,1691611492
91,fale old settlement,-9.3852,-171.2468,301.53,78,11,6.68,TK,1691611493
92,itoman,26.1247,127.6694,300.16,100,52,3.09,JP,1691611493
93,georgetown,5.4112,100.3354,300.11,95,40,2.57,MY,1691611332
94,whitehorse,60.7161,-135.0538,292.65,46,40,3.6,CA,1691611475
95,sosnovo,60.5514,30.2144,289.65,76,100,0.72,RU,1691611494
